^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
2025,Te Waotu School,07 8832815,07 8832891,principal@tewaotu.school.nz,Bruce Darroch,http://www.tewaotu.school.nz,1274 Waotu Road,,Putaruru,1274 Waotu Road,RD 1,Putaruru,3481,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Arapuni,Putaruru Ward,175.68954,-38.144246,8,122,94,22,4,0,1,1,0
2027,Thames South School,07 8686594,07 8686170,office@thamessouth.school.nz,Michael Lander,http://www.thamessouth.school.nz,Grey Street,,Thames,307 Rolleston Street,,Thames,3500,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Parawai,Thames Ward,175.548269,-37.14458,3,173,40,120,2,8,0,3,0
2028,Thornton School,07 3049308,07 3049308,admin@thornton.school.nz,Shelley Bremner,http://www.thornton.school.nz,Eastbank Road,Thornton,Whakatane,East Bank Road,RD 3,Whakatane,3193,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Otakiri,Rangitaiki Ward,176.863286,-37.92534,5,101,77,24,0,0,0,0,0
2031,Tirau Primary School,07 8831653,07 8831269,office@tirau.school.nz,Siobhan Patterson,http://www.tirau.school.nz,69 Main Road,,Tirau,69 Main Road,,Tirau,3410,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Tirau,Tirau Ward,175.75529,-37.975561,5,99,57,39,0,2,1,0,0
2032,Tirohanga School,07 3339353,07 3339012,office@tirohanga.school.nz,Donna Andrews,,Tirohanga Road,,Atiamuri,851 Tirohanga Road,RD 1,Atiamuri,3078,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Te Tai Hauauru,Marotiri,Mangakino-Pouakani Ward,175.910031,-38.469025,6,29,15,14,0,0,0,0,0
2033,Tirohia School,07 8627086,07 8627086,office@tirohia.school.nz,Bronwyn Johnson-Thoms,,State Highway 26,,Tirohia,State Highway 26,RD 3,Paeroa,3673,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Ohinemuri,Paeroa Ward,175.6484,-37.43151,3,44,25,19,0,0,0,0,0
2035,Tokoroa Central School,07 8866780,07 8866780,jeanette@tokoroacentral.school.nz,Debbie Follas,,Clyde Street,,Tokoroa,PO Box 643,,Tokoroa,3444,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Stanley Park,Tokoroa Ward,175.864815,-38.221156,1,119,21,73,25,0,0,0,0
2037,Tokoroa Intermediate,07 8867687,07 8862362,office@tokoroa.school.nz,B Fisher (acting),http://www.tokoroa.school.nz,Elizabeth Drive,,Tokoroa,Private Bag,,Tokoroa,3444,Secondary Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Matarawa,Tokoroa Ward,175.859139,-38.227692,2,312,89,161,53,8,1,0,0
2038,Tokoroa North School,07 8869169,07 8869009,principal@tokoroanorth.school.nz,Stephen Blair,http://www.tokoroanorth.school.nz/,29 Paraonui Road,,Tokoroa,29 Paraonui Road,,Tokoroa,3420,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Paraonui,Tokoroa Ward,175.853813,-38.212817,4,477,152,244,54,19,8,0,0
2040,Turaki School,07 8957651,07 8957653,admin1@turakiprimary.school.nz,Richard Sheterline,http://www.turakiprimary.school.nz,Tumoana Street,,Taumarunui,Tumoana Street,,Taumarunui,3920,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Rangitikei,Te Tai Hauauru,Taumarunui Central,Taumarunui Ward,175.268344,-38.886258,2,237,102,123,3,9,0,0,0
2043,Turua Primary School,07 8675003,07 8675446,admin@turua.school.nz,Tracey Fisher,,Hauraki Road,Turua,Thames,Hauraki Road,RD 4,Thames,3574,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Turua,Plains Ward,175.568916,-37.242176,7,75,48,24,2,1,0,0,0
2044,Upper Atiamuri School,07 3332257,07 3331704,office@upperatiamuri.school.nz,Stephanie Whyte,http://www.upperatiamuri.school.nz,2613 State Highway 30,,Atiamuri,State Highway 30,RD 1,Atiamuri,3078,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Rotorua District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Ngakuru,Area Outside Ward,176.068046,-38.332959,5,29,22,5,0,2,0,0,0
2045,Vardon School,07 8492451,07 8490427,secretary@vardon.school.nz,Myra Paton (acting),http://www.vardon.school.nz,36 Cunningham Road,Beerescourt,Hamilton,36 Cunningham Road,Beerescourt,Hamilton,3200,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Bryant,West Ward,175.256973,-37.763356,4,332,155,122,12,34,8,1,0
2046,Waerenga School,07 8267871,07 8267831,admin@waerengaschool.co.nz,Wilhelmus Rosendaal,http://www.waerengaschool.co.nz,Taniwha Road,Waerenga,Te Kauwhata,Taniwha Road,RD 1,Te Kauwhata,3781,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Waerenga,Hukanui-Waerenga Ward,175.266455,-37.371726,8,90,76,13,0,0,0,1,0
2047,Te Kura o Waharoa,07 8887550,07 8884266,pip@waharoa.school.nz,Jason Kereopa (acting),,32 Ward Street,,Waharoa,PO Box 34,,Waharoa,3401,Rural Area,Contributing,Bilingual Year 7-8 School,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Waharoa,Matamata Ward,175.754739,-37.760019,1,54,0,54,0,0,0,0,0
2048,Waihi Beach School,07 8635704,07 8635705,admin@waihibeach.school.nz,Michael Tilyard,http://www.waihibeach.school.nz,100 Beach Road,,Waihi Beach,100 Beach Road,,Waihi Beach,3611,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Waihi Beach,Waihi Beach Ward,175.938503,-37.405929,6,254,193,55,2,3,1,0,0
2049,Waihi East School,07 8638693,07 8638671,ssamson@east.school.nz,Emily Hargreaves,http://www.waihieast.school.nz,Donnelly Street,,Waihi,Donnelly Street,,Waihi,3610,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Waihi,Waihi Ward,175.856227,-37.38184,3,171,103,59,7,2,0,0,0
2050,Waihi Central School,07 8638709,,admin@waihicentral.school.nz,Daryl Aim,http://www.waihicentral.school.nz,Moresby Avenue,,Waihi,Moresby Avenue,,Waihi,3610,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Waihi,Waihi Ward,175.838774,-37.389972,2,181,67,100,10,2,2,0,0
2052,Waikaretu School,09 2333014,09 2333017,waikaretuschool@gmail.com,Heather Dellow,,Rapid 1448 Waikaretu Valley Road,Waikaretu,Tuakau,1448 Waikaretu Valley Road,RD 5,Tuakau,2695,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Auckland South,Auckland,Waikato,Hauraki-Waikato,Onewhero,Onewhero Ward,174.83214,-37.543431,5,11,4,7,0,0,0,0,0
2054,Waikino School,07 8637733,07 8637737,office@waikino.school.nz,Jennifer Cochrane,http://www.waikino.school.nz/,R D 2 Abbots Road,,Waikino,Abbott Road,RD 2,Waihi,3682,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Ohinemuri,Waihi Ward,175.770574,-37.409518,3,43,32,6,3,1,0,1,0
2055,Waikite Valley School,07 3331888,07 3331782,office@waikitevalley.school.nz,Teresa Topp,http://waikitevalley.school.nz,Waikite Valley Road,Waikite Valley,Rotorua,Waikite Valley Road,RD 1,Rotorua,3077,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Rotorua District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Ngakuru,Area Outside Ward,176.256791,-38.341913,10,45,39,6,0,0,0,0,0
2057,Waimana School,07 3123021,07 3123 025,admin@waimana.schoolzone.net.nz,Helen Te Wara,,6 Raroa Road,,Waimana,6 Raroa Road,RD 1,Waimana,3196,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Waimana,Taneatua-Waimana Ward,177.072258,-38.143098,1,42,1,39,2,0,0,0,0
2058,Waimata School,07 8638020,07 8638028,admin@waimata.school.nz,Logan Phillips,http://www.waimata.school.nz,9780 Tauranga Road (SH2),,Waihi,9780 State Highway 2,RD 1,Waihi,3681,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Ohinemuri,Waihi Ward,175.869656,-37.426822,4,43,30,13,0,0,0,0,0
2060,Waingaro School,07 8254714,07 8254713,office@waingaro.school.nz,Allison Graves,,Waingaro Road,,Ngaruawahia,Waingaro Road,RD 1,Ngaruawahia,3793,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Akau,Whaingaroa Ward,174.96916,-37.675486,9,40,29,10,0,0,0,1,0
2061,TKKM o Waioweka,07 3157722,07 3157791,tari@waioweka.school.nz,Anita Kurei-Paruru,,48 Waioeka Pa Road,,Opotiki,48 Waioeka Pa Road,RD 1,Opotiki,3197,Rural Area,Full Primary,Kura Kaupapa Maori,State: Not integrated,Co-Educational,Opotiki District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Oponae,Waioeka-Waiotahi Ward,177.29432,-38.083847,1,74,0,74,0,0,0,0,0
2062,Te Kura Maori-a-Rohe o Waiohau,07 3228251,07 3228006,accounts@waiohau.schoolzone.net.nz,Annie Hare,,2481 Galatea Road RD 2,Waiohau,Whakatane,2481 Galatea Road,RD 2,Whakatane,3192,Rural Area,Composite (Year 1-15),Kura Kaupapa Maori,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Matahina-Minginui,Galatea-Murupara Ward,176.841698,-38.224309,1,32,0,32,0,0,0,0,0
2063,Waiotahe Valley School,07 3154712,07 3154629,admin@waiotahe.school.nz,Patrick Carrington,http://www.waiotahevalleyschool.co.nz,Gabriels Gully Road,,Opotiki,Gabriels Gully Road,RD 2,Opotiki,3198,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Opotiki District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Waiotahi,Waioeka-Waiotahi Ward,177.192318,-38.026417,3,101,25,72,2,1,1,0,0
2064,Waipa School,07 8248228,07 8248228,office@waipa.school.nz,Stephen Thackray,,Kia Toa Street,,Ngaruawahia,Kia Toa Street,,Ngaruawahia,3720,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Ngaruawahia,Ngaruawahia Ward,175.149737,-37.676024,2,352,65,277,7,3,0,0,0
2065,Waipahihi School,07 3786455,07 3783764,admin@waipahihi.school.nz,Helen Malcolm,http://www.waipahihi.school.nz,20 Parata Street,Waipahihi,Taupo,20 Parata Street,Two Mile Bay,Taupo,3330,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Waiariki,Richmond Heights,Taupo-Kaingaroa Ward,176.08711,-38.717522,8,503,327,151,2,16,6,0,1
2066,Wairakei School,07 3748035,07 3748689,info@wairakeitaupo.school.nz,Paula Farquhar,http://www.wairakeitaupo.school.nz/,Wairakei Village,Wairakei,Taupo,Kauri Drive,Wairakei,Taupo,3332,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Waiariki,Wairakei-Aratiatia,Taupo-Kaingaroa Ward,176.101477,-38.619088,5,235,160,66,1,2,1,5,0
2068,Te Kura o Waitahanui,07 3784511,07 3784511,waitahanui@xtra.co.nz,Maria Rahui,,RD 2,Waitahanui,Taupo,State Highway 1,RD 2,Taupo,3378,Rural Area,Contributing,Bilingual School,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Waiariki,Waitahanui,Taupo-Kaingaroa Ward,176.076788,-38.787768,2,20,0,20,0,0,0,0,0
2069,Waitakaruru School,07 8673155,07 8673157,admin@waitakaruru.school.nz,Jade Tawhiti,http://www.waitakaruru.school.nz,Canal West Road RD 6,,Thames,Canal West Road,RD 6,Thames,3576,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Hauraki Plains,Plains Ward,175.393144,-37.236201,5,91,59,28,0,2,0,2,0
2070,Waiterimu School,07 8285806,07 8285806,,Jean Henry,http://www.waiterimu.school.nz,166 Waiu Road,,Waiterimu,166 Waiu Road,RD 4,Ohinewai,3784,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Waerenga,Hukanui-Waerenga Ward,175.274369,-37.473935,8,9,7,2,0,0,0,0,0
2071,Waitetuna School,07 8255827,07 8255027,office@waitetuna.school.nz,Joanne Reiri,http://www.waitetuna.school.nz,129 Waitetuna Valley Road RD 1,,Raglan,129 Waitetuna Valley Road,RD 1,Raglan,3295,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Uku,Whaingaroa Ward,175.030893,-37.846604,6,52,46,5,0,0,0,1,0
2072,Waitoa School,07 8896814,07 8896819,office@waitoa.school.nz,Katherine Daly,,Main Road,,Waitoa,3944 State Highway 26,,Waitoa,3310,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Waitoa,Te Aroha Ward,175.637333,-37.596209,3,15,12,2,0,0,1,0,0
2073,Waitomo Caves School,07 8787534,07 8787219,office@waitomocaves.school.nz,Tamae Dimond,http://www.waitomocavesschool.wikispaces.com,Hotel Access Road,,Waitomo Caves,Counter Box 49,RD 7,Otorohanga,3943,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Marokopa,Waitomo Rural Ward,175.109611,-38.261418,5,53,22,30,1,0,0,0,0
2074,Walton School,07 8883817,07 8883815,office@walton.school.nz,Jeremy Kurth,http://www.walton.school.nz,305 Walton Road,,Walton,305 Walton Road,RD 1,Walton,3475,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Waihou-Walton,Matamata Ward,175.698247,-37.733368,9,122,96,20,1,2,3,0,0
2075,Wairere School,07 8880854,07 8880856,office@wairere.school.nz,Judith Buckley,http://wairere.school.nz,Wardville Road,Wardville,Waharoa,411 Wardville Road,RD 1,Waharoa,3474,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Waihou-Walton,Matamata Ward,175.778843,-37.72336,6,49,20,16,0,11,0,2,0
2076,Welcome Bay School,07 5441113,07 5441104,office@welcomebay.school.nz,Nicholas House,http://www.welcomebay.school.nz,309 Welcome Bay Road,Welcome Bay,Tauranga,309 Welcome Bay Road,Welcome Bay,Tauranga,3112,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Bay of Plenty,Waiariki,Welcome Bay East,Te Papa-Welcome Bay Ward,176.196543,-37.727465,4,295,115,157,12,8,2,1,0
2077,Westbrook School,07 3476512,07 3476445,office@westbrook.school.nz,Keith Watkins,http://www.westbrook.school.nz,362 Malfroy Road,,Rotorua,362 Malfroy Road,Westbrook,Rotorua,3015,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Pomare,Area Outside Ward,176.218749,-38.150636,4,582,324,221,16,15,5,1,0
2078,Western Heights Primary School (Rotorua),07 3488459,07 3488069,whpadmin@whp.school.nz,Brent Griffin,http://whp.school.nz.,Clayton Road,Western Heights,Rotorua,197 Clayton Road,Mangakakahi,Rotorua,3015,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Western Heights,Area Outside Ward,176.213391,-38.130547,2,446,39,378,23,4,2,0,0
2079,Whakamarama School,07 5525204,07 5525203,office@whakamarama.school.nz,Susan Waitai,http://www.whakamarama.school.nz/,476 Whakamarama Road,,Whakamarama,476 Whakamarama Road,RD 7,Tauranga,3179,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Bay of Plenty,Waiariki,Minden,Kaimai Ward,175.99405,-37.717145,8,37,29,7,0,0,0,1,0
2080,Whakamaru School,07 8828872,07 8828822,principal@whakamaru.school.nz,Jillian McArthur,http://www.whakamaru.school.nz,Kaahu Road,Whakamaru,Mangakino,Kaahu Road,RD 1,Mangakino,3492,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Te Tai Hauauru,Marotiri,Mangakino-Pouakani Ward,175.808138,-38.426748,3,80,26,50,0,3,1,0,0
2081,Te Kura o Te Whakarewarewa,07 3483865,,admin@whakarewarewa.school.nz,Hariata Tapiata,,Sala Street,Whakarewarewa,Rotorua,PO Box 6014,Whakarewarewa,Rotorua,3043,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Ngapuna,Area Outside Ward,176.264262,-38.157958,2,69,0,67,2,0,0,0,0
2082,Whakatane Intermediate,07 3086480,07 3085760,admin@wistecom.school.nz,Douglas McLean,http://www.whakataneintermediateschool.com,James Street,,Whakatane,James Street,,Whakatane,3120,Secondary Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Whakatane West,Whakatane-Ohope Ward,176.970443,-37.961255,4,565,203,331,4,12,5,10,0
2083,Whangamarino School,07 3624879,07 3624913,,Rawiri Wihapi,http://www.whangamarino.school.nz/,State Highway 33,,Okere Falls,State Highway 33,RD 4,Rotorua,3074,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Tikitere,Area Outside Ward,176.344225,-38.026681,3,126,3,119,3,0,0,1,0
2084,Te Kura Mana Maori o Whangaparaoa,07 3253686,07 3253901,tihirau2@xtra.co.nz,Tuihana Pook,,11555 State Highway 35,Cape Runaway,Opotiki,11555 State Highway 35,RD 3,Opotiki,3199,Rural Area,Composite (Year 1-15),Designated Character School,State: Not integrated,Co-Educational,Opotiki District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Cape Runaway,Coast Ward,177.997524,-37.574822,1,40,0,40,0,0,0,0,0
2085,ACG Parnell College,09 3081666,09 3081668,parnellcollege@acgedu.com,Larne Edmeades,http://www.acgedu.com,39 George Street,Parnell,Auckland,PO Box 9825,Newmarket,Auckland,1149,Main Urban Area,Composite (Year 1-15),Not Applicable,Private: Fully Reg.,Co-Educational,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Newmarket,Waitemata and Gulf Ward,174.778126,-36.863654,10,774,370,17,15,300,14,8,50
2086,Wharepapa South School,07 8722826,07 8722826,office@wharepapa.school.nz,Penelope O'Brien,http://www.wharepapa.school.nz,14 Wharepapa Road,,Te Awamutu,14 Wharepapa South Road,RD 7,Te Awamutu,3877,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Rotongata,Kakepuku Ward,175.534875,-38.142835,8,34,22,9,0,2,0,1,0
2087,Whatawhata School,07 8298820,07 8293036,office@whatawhata.school.nz,Matthew Stockton,http://www.whatawhata.school.nz,9 Kura Street,Whatawhata,Hamilton,9 Kura Street,RD 9,Hamilton,3289,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Whatawhata,Newcastle Ward,175.157421,-37.792271,7,158,98,53,2,0,1,4,0
2088,Whenuakite School,07 8663860,07 8663823,admin@whenuakite.school.nz,James Marsden,http://www.whenuakite.school.nz,1055 State Highway 25,,Whitianga,1055 Tairua Whitianga Road,RD 1,Whitianga,3591,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Te Rerenga,Mercury Bay Ward,175.777175,-36.914996,8,124,109,13,1,0,0,1,0
2090,Whitikahu School,07 8244859,07 8244659,office@whitikahu.school.nz,Patricia Wilson,http://www.whitikahu.school.nz,Whitikahu Road,Whitikahu,Taupiri,Whitikahu Road,RD 2,Taupiri,3792,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Whitikahu,Hukanui-Waerenga Ward,175.345927,-37.611213,9,77,39,25,1,9,2,1,0
